Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RaspberryPi_Pico","RaspberryPi_Pico_Common_Unspecified",137.715000,-90.650000,0.000000,top
"D1","KT-0603R","LED_0603_1608Metric",152.500000,-75.712500,90.000000,top
"J2","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",180.500000,-62.000000,-90.000000,top
"J2","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",179.120000,-115.000000,-90.000000,top
"R1","47Ω","R_0201_0603Metric",155.000000,-75.500000,90.000000,top
"S1","Tactile Button, 160gf","SW_TS-1088-AR02016",148.425000,-61.500000,0.000000,top
"S2","Tactile Button, 160gf","SW_TS-1088-AR02016",120.250000,-95.000000,90.000000,top
"SW1","SW_Push","SW_SPST_Omron_B3F-40xx",209.000000,-77.750000,0.000000,top
"SW2","SW_Push","SW_SPST_Omron_B3F-40xx",193.250000,-92.750000,0.000000,top
"SW3","SW_Push","SW_SPST_Omron_B3F-40xx",224.750000,-92.750000,0.000000,top
"SW4","SW_Push","SW_SPST_Omron_B3F-40xx",209.000000,-107.750000,0.000000,top
"SW5","SW_Push","SW_SPST_Omron_B3F-40xx",86.000000,-77.750000,0.000000,top
"SW6","SW_Push","SW_SPST_Omron_B3F-40xx",70.250000,-92.750000,0.000000,top
"SW7","SW_Push","SW_SPST_Omron_B3F-40xx",101.750000,-92.750000,0.000000,top
"SW8","SW_Push","SW_SPST_Omron_B3F-40xx",86.000000,-107.750000,0.000000,top
"SW9","SW_Push","SW_SPST_Omron_B3F-40xx",122.450000,-137.500000,90.000000,top
"SW10","SW_Push","SW_SPST_Omron_B3F-40xx",137.450000,-137.500000,90.000000,top
"SW11","SW_Push","SW_SPST_Omron_B3F-40xx",152.500000,-137.500000,90.000000,top
"SW12","SW_Push","SW_SPST_Omron_B3F-40xx",167.500000,-137.500000,90.000000,top
"SW13","SW_Push","SW_SPST_Omron_B3F-40xx",182.500000,-137.500000,90.000000,top
